,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position,team_name,friendly_name
334,0.0,0.0,55909,0,0,-3,3,0,2,0.0,0.0,0,Chris,0.0,223,False,Joined AS Roma on loan until the end of the season on 30/8. - Expected back 01 Jul,2019-08-30T19:00:16.913287Z,52,55909.jpg,0.0,Smalling,0.1,False,,n,12,1,0,1899,11,16649,16,0.0,0.0,Smalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Man Utd,Chris Smalling
335,0.0,0.0,18892,0,0,-1,1,0,2,0.0,0.0,0,Ashley,0.0,224,False,Joined Inter Milan on a permanent deal on 17/1,2020-01-18T00:00:18.215118Z,54,18892.jpg,2.0,Young,0.3,False,,u,12,1,24,21249,13,40905,98,0.0,4.4,Young,953,0,0,2,10,0,0,0,5,0,0,0,158,155.6,316.6,18.0,49.1,DEF,Man Utd,Ashley Young
336,100.0,100.0,184667,0,0,-2,2,1,2,4.0,3.5,9,Victor,4.0,225,False,,2020-02-17T22:00:17.332382Z,53,184667.jpg,3.0,Lindelöf,1.2,False,,a,12,1,79,93320,1349,122402,498,0.8,14.9,Lindelöf,2340,1,0,7,27,1,0,0,5,0,0,7,434,431.0,62.1,73.0,56.6,DEF,Man Utd,Victor Lindelöf
337,100.0,100.0,106760,0,0,-1,1,0,2,5.2,4.7,6,Luke,5.2,226,False,,2020-01-05T02:00:15.777574Z,54,106760.jpg,2.6,Shaw,0.7,False,,a,12,1,46,56324,3546,141438,686,1.0,8.5,Shaw,1233,0,0,5,11,0,0,0,5,0,0,2,261,263.0,222.0,122.0,60.5,DEF,Man Utd,Luke Shaw
338,0.0,0.0,58893,0,0,-2,2,0,2,0.0,0.0,0,Marcos,0.0,227,False,Joined Estudiantes on loan until the end of the season on 30/1. - Expected back 01 Jul,2019-11-22T11:30:18.673309Z,48,58893.jpg,1.0,Rojo,0.1,False,,n,12,1,3,4816,6,11992,22,0.0,0.6,Rojo,121,0,0,0,2,0,0,0,1,0,0,0,9,20.2,1.9,6.0,2.8,DEF,Man Utd,Marcos Rojo
339,100.0,100.0,197365,0,0,-1,1,0,2,1.8,1.3,1,Eric,1.8,228,False,,2019-07-26T12:00:09.210610Z,49,197365.jpg,3.5,Bailly,0.1,False,,a,12,1,7,8871,303,6759,569,0.4,1.4,Bailly,102,0,0,1,0,0,0,0,0,0,0,0,31,31.4,0.7,0.0,3.2,DEF,Man Utd,Eric Bailly
340,75.0,100.0,216051,0,0,-1,1,0,2,0.2,-0.3,0,José Diogo,0.2,229,False,Knock - 75% chance of playing,2020-03-13T10:30:19.027485Z,49,216051.jpg,1.0,Dalot Teixeira,0.1,False,,d,12,1,4,1740,23,11060,42,0.0,0.8,Dalot,65,0,0,0,1,0,0,0,0,0,0,0,10,10.4,4.3,6.0,1.9,DEF,Man Utd,José Diogo Dalot Teixeira
341,0.0,0.0,40002,0,0,-1,1,0,2,0.0,0.0,0,Matteo,0.0,230,False,Joined Parma on a permanent deal on 2/9,2019-09-02T10:00:09.526159Z,49,40002.jpg,0.0,Darmian,0.0,False,,u,12,1,0,604,2,4926,7,0.0,0.0,Darmian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Man Utd,Matteo Darmian
342,100.0,100.0,76359,0,0,-2,2,0,2,0.0,-0.5,0,Phil,0.0,231,False,,2019-09-25T22:00:12.876760Z,48,76359.jpg,1.0,Jones,0.2,False,,a,12,1,2,5037,30,13637,47,0.0,0.4,Jones,135,0,0,0,3,0,0,0,0,0,0,0,22,21.4,3.0,23.0,4.7,DEF,Man Utd,Phil Jones
343,0.0,0.0,66749,0,0,0,0,0,4,0.0,0.0,0,Romelu,0.0,232,False,Joined Inter Milan on a permanent deal on 8/8,2019-08-08T16:00:18.534831Z,85,66749.jpg,0.0,Lukaku,0.3,False,,u,12,1,0,2347,38,31640,43,0.0,0.0,Lukaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,FWD,Man Utd,Romelu Lukaku
344,0.0,0.0,176297,0,0,4,-4,4,4,0.0,0.0,0,Marcus,0.0,233,False,Back injury - Expected back 17 May,2020-01-11T22:00:19.929400Z,89,176297.jpg,6.1,Rashford,9.4,False,,i,12,1,134,2965936,252,3711941,7988,0.0,15.1,Rashford,1876,14,5,4,23,0,0,2,2,0,0,26,494,677.0,379.4,965.0,202.3,FWD,Man Utd,Marcus Rashford
345,100.0,100.0,220688,0,0,-2,2,0,4,2.5,2.0,0,Mason,2.5,234,False,,2020-02-19T20:00:22.835690Z,43,220688.jpg,2.4,Greenwood,11.5,False,,a,12,1,53,1545114,11451,1828784,18441,0.6,12.3,Greenwood,644,5,0,1,9,0,0,0,0,0,0,7,211,231.8,119.1,281.0,62.8,FWD,Man Utd,Mason Greenwood
346,100.0,100.0,51940,0,0,-1,1,1,1,6.0,5.5,9,David,6.0,235,False,,2019-10-15T20:30:15.609048Z,54,51940.jpg,3.6,de Gea,11.4,False,,a,12,1,103,910043,11392,1142797,2744,1.1,19.1,de Gea,2610,0,0,8,30,0,0,0,2,0,75,7,464,542.8,0.0,0.0,54.1,GK,Man Utd,David de Gea
347,,,42899,0,0,-3,3,0,1,0.0,-0.5,0,Sergio,0.0,236,False,,,47,42899.jpg,0.0,Romero,0.2,False,,a,12,1,0,5093,28,12243,68,0.0,0.0,Romero,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,Man Utd,Sergio Romero
348,0.0,0.0,6744,0,0,-2,2,0,1,0.0,0.0,0,Lee,0.0,237,False,Unknown - Expected back 09 May,2020-02-26T12:00:21.858182Z,48,6744.jpg,0.0,Grant,0.1,False,,i,12,1,0,775,7,4966,50,0.0,0.0,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,Man Utd,Lee Grant
349,75.0,0.0,74208,0,0,-2,2,0,3,0.0,0.0,0,Paul,0.0,238,False,Lack of match fitness - 75% chance of playing,2020-01-01T22:00:21.579969Z,83,74208.jpg,2.4,Pogba,2.8,False,,d,12,1,17,378850,194,752419,578,0.0,2.0,Pogba,521,0,2,1,5,0,0,1,0,0,0,0,80,130.2,215.6,118.0,46.5,MID,Man Utd,Paul Pogba
350,75.0,100.0,148225,0,0,4,-4,2,3,6.5,6.0,8,Anthony,6.5,239,False,Knock - 75% chance of playing,2020-03-11T23:00:15.982993Z,79,148225.jpg,5.3,Martial,12.8,False,,d,12,1,122,3058552,82518,2628476,17665,0.8,15.4,Martial,1875,11,3,9,21,0,0,1,1,0,0,7,322,552.4,302.8,930.0,178.8,MID,Man Utd,Anthony Martial
